KASHIF|2026-08-31|ITEM|pid=25|Hot Shot 9 Pcs (With Fries)|qty=1.00|net=800.00
KASHIF|2026-08-31|ITEM|pid=66|Pepperoni Pizza Fries (Small)|qty=1.00|net=800.00
KASHIF|2026-08-31|ITEM|pid=37|Beef Burger (With Fries)|qty=1.00|net=800.00
KASHIF|2026-08-31|ITEM|pid=48|Club Sandwich|qty=1.00|net=750.00
KASHIF|2026-08-31|ITEM|pid=112|Chicken Malai Tikka (Leg)|qty=1.00|net=700.00
KASHIF|2026-08-31|ITEM|pid=29|Chicken Crunch Burger (With Fries)|qty=1.00|net=650.00
KASHIF|2026-08-31|ITEM|pid=24|Hot Shot 9 Pcs|qty=1.00|net=650.00
KASHIF|2026-08-31|ITEM|pid=27|Crispy Fried Chicken 1 Pcs (With Fries)|qty=1.00|net=600.00
KASHIF|2026-08-31|ITEM|pid=99|French Fries (Steak Side)|qty=2.00|net=600.00
KASHIF|2026-08-31|ITEM|pid=204|Plain Rice|qty=3.00|net=510.00
KASHIF|2026-08-31|ITEM|pid=58|Mayo Garlic Fries (Regular)|qty=1.00|net=450.00
KASHIF|2026-08-31|ITEM|pid=178|Soft Drink (1.5 Ltr)|qty=2.00|net=440.00
KASHIF|2026-08-31|ITEM|pid=154|Chicken Reshmi Kebab Mayo Cheese Roll|qty=1.00|net=420.00
