"Use For Go-Live? Y/N","Source Code","Item Name","Quote Unit","Customer Charge","Costing Shape","Material 1","Qty/Ratio 1","Material 2","Qty/Ratio 2","Material 3","Qty/Ratio 3","Making/Service Charge","Per Unit or Lump Sum","Stock Tracked?","Customer Supplied Possible?",Notes
,TRUNCATED,"Chicken Mandi",,,,,,,,,,,,,,
,TRUNCATED,"Stew Qeema Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Qorma Badami Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Masala Rice Boiled",,,,,,,,,,,,,,
,TRUNCATED,"Masala Pulao Aloo",,,,,,,,,,,,,,
,TRUNCATED,"Stew Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Afghani Chicken Biryani",,,,,,,,,,,,,,
,TRUNCATED,"Khatri Biryani Beef",,,,,,,,,,,,,,
,TRUNCATED,"Karahi White Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Qorma White Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Chicken Khatri Biryani",,,,,,,,,,,,,,
,TRUNCATED,"Beef Khatri Biryani Box Small",,,,,,,,,,,,,,
,TRUNCATED,"Vegetable Chow Mein",,,,,,,,,,,,,,
,TRUNCATED,"Daal Chana",,,,,,,,,,,,,,
,TRUNCATED,"Chicken Khatri Biryani Box Small",,,,,,,,,,,,,,
,TRUNCATED,"Singaporean Box Large",,,,,,,,,,,,,,
,1037,"Singaporean Box Large",,,,,,,,,,,,,,
,171,"Daal Lauki Beef",,,,,,,,,,,,,,
,1046,"Mutton Khatri Biryani",,,,,,,,,,,,,,
,1047,"Biryani Chicken Malai Boti",,,,,,,,,,,,,,
,1048,"Beef Khatri Matka Biryani",,,,,,,,,,,,,,
,442,"Handi Fish",,,,,,,,,,,,,,
,447,"Green Masala Fish",,,,,,,,,,,,,,
,1049,"Hyderabadi Beef Pulao",,,,,,,,,,,,,,
,1050,"Hyderabadi Chicken Pulao",,,,,,,,,,,,,,
,314,"Karahi Fish",,,,,,,,,,,,,,
,446,"Masala Fish",,,,,,,,,,,,,,
,1051,"Beef Changezi Pulao",,,,,,,,,,,,,,
,1052,"Chicken Changezi Pulao",,,,,,,,,,,,,,
,154,"Qorma Fish",,,,,,,,,,,,,,
,87,"Beef Haleem",,,,,,,,,,,,,,
,126,"Hari Mirch Qeema Fish",,,,,,,,,,,,,,
,199,"Kachri Qeema Beef",,,,,,,,,,,,,,
,286,"Katakat Mutton",,,,,,,,,,,,,,
,88,Khichra,,,,,,,,,,,,,,
,194,"Aloo Gosht Mutton",,,,,,,,,,,,,,
,257,"Achar Gosht Mutton",,,,,,,,,,,,,,
,421,"Handi Mutton",,,,,,,,,,,,,,
,590,"Qeema Mutton",,,,,,,,,,,,,,
,578,"Karahi Qeema Mutton Live",,,,,,,,,,,,,,
,577,"Karahi Chicken White Live",,,,,,,,,,,,,,
,562,"Kofta Mutton",,,,,,,,,,,,,,
,198,"Tikka Karahi Chicken",,,,,,,,,,,,,,
,113,"Daal Gosht Mutton",,,,,,,,,,,,,,
,255,"Green Karahi Mutton",,,,,,,,,,,,,,
,119,"Green Masala Mutton",,,,,,,,,,,,,,
,299,"Khichra Mutton",,,,,,,,,,,,,,
,191,"Handi Mutton",,,,,,,,,,,,,,
,422,"Jalfrezi Mutton",,,,,,,,,,,,,,
,594,"Haleem Vegetable",,,,,,,,,,,,,,
,15,"Karahi Mutton",,,,,,,,,,,,,,
,517,"Karahi Mutton Live",,,,,,,,,,,,,,
,66,"Kunna Mutton",,,,,,,,,,,,,,
,282,"Makhni Mutton",,,,,,,,,,,,,,
,193,"Nihari Mutton",,,,,,,,,,,,,,
,120,"Paya Mutton",,,,,,,,,,,,,,
,225,"Paya Kunna Mutton",,,,,,,,,,,,,,
,245,"Palak Gosht Mutton",,,,,,,,,,,,,,
,190,"Qorma Mutton Badami",,,,,,,,,,,,,,
,18,"Stew Mutton",,,,,,,,,,,,,,
,258,"Tikka Karahi Mutton",,,,,,,,,,,,,,
,131,"White Karahi Mutton",,,,,,,,,,,,,,
,283,"White Qorma Mutton",,,,,,,,,,,,,,
,295,"Palak Kofta",,,,,,,,,,,,,,
,181,"Pasanday Beef",,,,,,,,,,,,,,
,219,"Handi Prawn",,,,,,,,,,,,,,
,413,"Vegetable Chillies Prawn",,,,,,,,,,,,,,
,414,"Ginger Prawn",,,,,,,,,,,,,,
,328,"Green Masala Prawn Live",,,,,,,,,,,,,,
,411,"Jalfrezi Prawn",,,,,,,,,,,,,,
,410,"Masala Prawn",,,,,,,,,,,,,,
,292,"Masala Handi Prawn",,,,,,,,,,,,,,
,TRUNCATED,"Qeema Beef Live",,,,,,,,,,,,,,
,TRUNCATED,"Qeema Chilli",,,,,,,,,,,,,,
,TRUNCATED,"Qeema Fry Beef",,,,,,,,,,,,,,
,TRUNCATED,"Qorma Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Qorma Mutton",,,,,,,,,,,,,,
,TRUNCATED,"Sweet and Sour Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Vegetable Chilli",,,,,,,,,,,,,,
,TRUNCATED,"Vegetable Mix",,,,,,,,,,,,,,
,TRUNCATED,"Karahi Qeema Beef Live",,,,,,,,,,,,,,
,TRUNCATED,"Tandoori Masala Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Tikka Karahi Chicken Live",,,,,,,,,,,,,,
,TRUNCATED,"Karahi Qeema Beef",,,,,,,,,,,,,,
,TRUNCATED,"Tikka Karahi Beef",,,,,,,,,,,,,,
,TRUNCATED,"Palak Paneer",,,,,,,,,,,,,,
,TRUNCATED,"Malai Kofta Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Malai Kofta Chicken Double",,,,,,,,,,,,,,
,TRUNCATED,"Karahi Chicken Makhni Live",,,,,,,,,,,,,,
,TRUNCATED,"Malai Kofta Chicken Single",,,,,,,,,,,,,,
,TRUNCATED,"Malai Kofta Chicken Gravy",,,,,,,,,,,,,,
,TRUNCATED,"Nihari Chicken Gravy",,,,,,,,,,,,,,
,TRUNCATED,"Palak Gosht Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Anda Aloo Garibi",,,,,,,,,,,,,,
,TRUNCATED,"Bombay Daal",,,,,,,,,,,,,,
,TRUNCATED,"Murgh Chana",,,,,,,,,,,,,,
,TRUNCATED,"Chicken Lauki",,,,,,,,,,,,,,
,TRUNCATED,"Daal Chana Lauki",,,,,,,,,,,,,,
,TRUNCATED,"Paya Camel",,,,,,,,,,,,,,
,TRUNCATED,"Jangli Karahi",,,,,,,,,,,,,,
,TRUNCATED,"Brain Mutton",,,,,,,,,,,,,,
,TRUNCATED,"Brain Jamsi",,,,,,,,,,,,,,
,670,"Brain Jamsi",,,,,,,,,,,,,,
,684,"Brain Beef",,,,,,,,,,,,,,
,685,"Handi Chicken Live",,,,,,,,,,,,,,
,690,Nalli,,,,,,,,,,,,,,
,702,"Beef Qorma Badami",,,,,,,,,,,,,,
,706,"Chicken Karahi Koila",,,,,,,,,,,,,,
,710,"Shab Daig",,,,,,,,,,,,,,
,712,"Karahi White Mutton Live",,,,,,,,,,,,,,
,716,"Kaleji Masala",,,,,,,,,,,,,,
,722,"Karahi Chicken Kala Hara",,,,,,,,,,,,,,
,734,"Teriyaki Beef",,,,,,,,,,,,,,
,736,"Reshmi Paneer Handi Chicken",,,,,,,,,,,,,,
